               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.020561,            0.010281,            0.013903,              0.9883,             0.99741,               0.995,             0.78272,           0.0095882,           0.0024341,          0.00098067,           0.0075844,           0.0075844,           0.0075844
                  63,            0.021367,            0.010772,            0.013583,             0.94257,             0.98237,             0.98946,             0.75176,           0.0093124,           0.0024256,           0.0012098,           0.0075448,           0.0075448,           0.0075448
                  64,            0.018877,             0.01044,            0.012252,             0.97447,             0.98426,               0.995,             0.76385,           0.0094767,           0.0025215,          0.00089046,           0.0075052,           0.0075052,           0.0075052
                  65,            0.020267,            0.010615,            0.013738,             0.97467,             0.97805,             0.99114,             0.77255,           0.0092183,           0.0027409,           0.0010492,           0.0074656,           0.0074656,           0.0074656
                  66,            0.020924,            0.010684,            0.015927,             0.97462,             0.99407,               0.995,             0.82274,           0.0099713,           0.0025165,          0.00084834,            0.007426,            0.007426,            0.007426
                  67,             0.02032,            0.010591,            0.013823,             0.97921,             0.99331,               0.995,             0.80438,           0.0095753,            0.002446,          0.00093538,           0.0073864,           0.0073864,           0.0073864
                  68,            0.022094,           0.0099595,            0.015455,             0.96693,             0.94185,               0.992,             0.80378,           0.0083582,           0.0025234,           0.0019215,           0.0073468,           0.0073468,           0.0073468
                  69,            0.018965,           0.0095141,            0.011859,             0.97167,             0.96628,               0.995,             0.77537,           0.0077425,           0.0026687,           0.0018098,           0.0073072,           0.0073072,           0.0073072
                  70,            0.020027,           0.0094687,            0.011631,             0.96994,             0.98418,               0.995,             0.80495,           0.0089267,           0.0024039,           0.0015646,           0.0072676,           0.0072676,           0.0072676
                  71,             0.01906,           0.0094786,            0.011845,             0.95409,             0.98396,               0.995,              0.8015,           0.0081604,           0.0023281,           0.0013174,            0.007228,            0.007228,            0.007228
                  72,            0.019671,            0.010315,            0.012978,             0.95599,             0.98921,              0.9935,             0.78171,            0.010173,           0.0024859,           0.0010825,           0.0071884,           0.0071884,           0.0071884
                  73,            0.022887,            0.010251,            0.015698,             0.98156,             0.96838,               0.995,             0.73649,            0.010716,           0.0024293,           0.0012046,           0.0071488,           0.0071488,           0.0071488
                  74,            0.023042,           0.0097275,            0.013891,              0.9446,             0.95521,             0.98946,             0.76323,           0.0087448,           0.0024055,           0.0016713,           0.0071092,           0.0071092,           0.0071092
                  75,            0.018591,           0.0093986,            0.012832,             0.95659,             0.99814,               0.995,             0.80384,           0.0078888,           0.0025193,          0.00087038,           0.0070696,           0.0070696,           0.0070696
                  76,            0.019614,            0.010358,            0.013449,             0.96442,              0.9831,               0.995,             0.79406,           0.0083593,           0.0025997,          0.00074125,             0.00703,             0.00703,             0.00703
                  77,            0.020079,            0.010354,             0.01424,             0.93657,             0.98219,             0.98852,             0.81233,           0.0082149,           0.0024203,            0.001023,           0.0069904,           0.0069904,           0.0069904
